"","HHID","SINGLE","FEMALE_HEAD","AGE_HEAD","EDUCATION_HEAD","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION","CONTINUOUS_PARTICIPATION"
"51","2788",1,0,81,4,0.875,1,3,9,0,2.12,1.979,4.54632437580249,0,0,0,1,0,0,0
"52","5175",0,0,67,7,3.5,1,0.4,0.16,0.700009884353069,2.04,1.979,4.54632437580249,1,1,0,0,0,0,0
"53","3033",0,0,40,9,1,1,1.5,2.25,0.176224264278237,18.96,1.979,4.54632437580249,0,0,0,1,0,0,0
"54","8528",0,0,78,9,1.8,1,1.8,3.24,0.299990115646931,1.64,1.979,4.54632437580249,0,0,1,0,0.4,1,0.196969696969697
"55","1888",0,0,74,9,1.375,1,20,400,0,3.56,2.074,4.92496006259138,1,0,0,1,0.05,0,0
"56","2125",0,0,58,7,5,1,0.4,0.16,0,1.6,2.072,3.98106794272203,0,0.504,0.13,0.169,-0.1,0,0
"57","7690",0,0,59,16,3,1,6,36,0,11.83,1.876,0.235438126210314,1,0,0,1,0,1,0.0480035231943629
"58","5361",0,0,47,9,5,1,1.5,2.25,0.299990115646931,5.66,1.853,0.266695856945794,0,0,1,0,0.05,1,0.191850594227504
"59","8815",0,0,69,7,6,1,0.36,0.1296,0,0.52,1.876,0.235438126210314,0,1,0,0,0,1,0.571428571428571
"60","5070",0,0,62,9,1.25,1,1,1,0,6.41,1.876,0.235438126210314,0,0,0,1,0.1,1,0.0572585309427415
"61","4406",0,0,43,7,1.75,0,1.8,3.24,0,1.14,1.853,0.266695856945794,0,0,1,0,-0.225,0,0
"62","6371",0,0,69,9,1,0,0.42,0.1764,0,6.6,1.853,0.266695856945794,1,1,0,0,0.2,1,0.733333333333333
"63","3946",0,0,69,15,1.66666666666667,1,1.25,1.5625,0.332967032967033,11.45,1.853,0.266695856945794,1,0,0,1,0.2,1,0.127405441274054
"64","1180",0,0,51,7,2,1,0.6,0.36,0,2.8,1.876,0.235438126210314,0,0,0,1,0,1,0.415966386554622
"65","6555",0,0,68,9,1.2,1,2,4,0,2.65,1.865,0.570151299513025,0,0,0.333,0.333,0.5,1,0.09375
"66","6655",0,0,65,9,2,1,1.1,1.21,0,1.67,1.865,0.570151299513025,0,0,0,1,0,1,0.207336523125997
"67","5416",0,0,63,7,2,1,0.45,0.2025,0.176224264278237,3.18,1.865,0.570151299513025,0,1,0,0,-0.1,0,0
"68","7357",0,0,70,7,2,1,1.1,1.21,0,6.01,1.865,0.570151299513025,0,0,1,0,0.05,0,0
"69","1299",0,0,61,7,0.8,1,3.7,13.69,0.5,11.43,1.865,0.570151299513025,0,0,0,1,0,1,0.193627450980392
"70","2670",0,0,74,9,1,1,0.78,0.6084,0,12.08,1.865,0.570151299513025,1,0.666,0,0,-0.05,1,0.170833333333333
"71","1597",1,0,65,7,1,1,0.856,0.732736,0.176224264278237,1.68,1.765,1.02974162934512,0,0,1,0,-0.05,0,0
"72","7817",0,0,56,12,1,1,4,16,0,2.28,1.765,1.02974162934512,1,0,0.333,0.333,0,1,0.00632911392405063
"73","1500",0,0,52,7,4,0,0.35,0.1225,0,2.18,1.733,1.53447947832893,1,1,0,0,-0.1,0,0
"74","4700",0,0,59,9,2,1,3.5,12.25,0,3.3,1.733,1.53447947832893,0,0,0,1,0,1,0.0416666666666667
"75","7559",0,0,45,16,1.14285714285714,1,4,16,0,2.22,1.765,1.02974162934512,0,0,0,1,0,1,0.107142857142857
"76","3240",0,0,44,7,2,0,1.2,1.44,0,2.08,1.733,1.53447947832893,0,1,0,0,-0.1,0,0
"77","4904",0,0,88,7,6,1,0.52,0.2704,0,0.9,1.733,1.53447947832893,0,0,1,0,0,1,0.046875
"78","9032",0,0,56,9,0.5,1,1.6,2.56,0.299990115646931,2.05,1.885,1.01759763243102,1,0,1,0,0.05,0,0
"79","7617",0,0,43,7,6,1,3,9,0.299990115646931,1.68,1.825,0.140271877002632,1,0,0,1,0.05,0,0
"80","5820",0,0,48,16,7,1,0.7,0.49,0,2.16,1.885,1.01759763243102,0,1,0,0,0,1,0.491935483870968
"81","9418",0,0,80,9,0.666666666666667,1,1.2,1.44,0.142655367231638,1.63,1.825,0.140271877002632,1,0,0,1,-0.05,1,0.0408163265306122
"82","4211",0,0,70,9,5.66666666666667,1,2.1,4.41,0,2.98,1.885,1.01759763243102,1,0,0,0,-0.1,1,0.0454545454545455
"83","5150",0,0,43,9,7,1,1.7,2.89,0,2.16,1.885,1.01759763243102,0,1,0,0,0.225,0,0
"84","1627",1,1,65,4,0.75,1,0.7,0.49,0.142655367231638,1.31,1.825,0.140271877002632,0,0.148,0.386,0.372,-0.05,0,0
"85","4591",0,0,92,4,0.666666666666667,1,10,100,0,1.09,1.825,0.140271877002632,0,0.048,0.427,0.394,-0.05,0,0
"86","6734",0,0,75,7,4,1,0.91,0.8281,0,0.56,1.834,0.663647775248228,1,0.113,0.299,0.122,0,0,0
"87","9963",0,0,52,12,1,0,0.3,0.09,0,0.42,1.885,1.01759763243102,0,1,0,0,0.1,0,0
"88","5950",0,0,42,9,7,0,0.37,0.1369,0,1.24,1.885,1.01759763243102,0,0,0,0,0.1,0,0
"89","5343",0,0,65,9,1.2,1,3,9,0,2.68,1.885,1.01759763243102,1,0.121,0.168,0.177,0.05,0,0
"90","5576",0,0,48,16,6,1,0.94,0.8836,0,3.55,1.834,0.663647775248228,0,0,0,1,-0.1,1,0.0671140939597315
"91","8804",0,0,53,9,6,1,1.6,2.56,0,1.77,1.892,2.50102512962026,1,0,1,0,0,0,0
"92","4268",0,0,43,9,4,1,0.35,0.1225,0,3.16,1.892,2.50102512962026,1,1,0,0,0,0,0
"93","3129",0,0,64,9,0.333333333333333,1,2.6,6.76,0,2.58,1.892,2.50102512962026,0,0,1,0,0.15,0,0
"94","9888",0,0,61,4,0.6,1,1.5,2.25,0,3.66,1.892,2.50102512962026,1,0,0,1,0.05,0,0
"95","8741",0,0,83,7,5,1,0.9,0.81,0,0.27,1.892,2.50102512962026,0,0.375,0.375,0.125,0,1,0.0714285714285714
"96","9578",0,0,43,9,1,1,0.8,0.64,0.142655367231638,1.15,1.892,2.50102512962026,0,0,0,1,-0.2,1,0.111111111111111
"97","1881",0,0,77,4,1,0,0.7,0.49,0,0.8,1.892,2.50102512962026,0,1,0,0,-0.5,0,0
"98","6084",0,0,41,9,3,1,3.5,12.25,0.176224264278237,2,1.892,2.50102512962026,0,0,0,1,0.1,1,0.115384615384615
"99","4029",0,0,60,12,2.2,1,1.1,1.21,0.142655367231638,1.31,1.892,2.50102512962026,0,0.036,0.123,0.398,0.2,0,0
"100","4220",0,0,45,7,7,1,0.5,0.25,0,1,1.892,2.50102512962026,0,1,0,0,-0.15,0,0
"101","3065",0,0,57,7,5,1,0.85,0.7225,0.299990115646931,0.84,1.934,1.18133704075502,1,0,1,0,0,1,0.0277777777777778
"102","2161",0,0,50,9,9,1,5,25,0,2.06,1.934,1.18133704075502,1,1,0,0,-0.2,0,0
