"","HHID","FEMALE","SINGLE","FEMALE_HEAD","AGE","EDUCATION","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION"
"188","6084",1,0,0,38,4,1.66666666666667,1,2.5,6.25,0.142655367231638,0.54,1.892,2.50102512962026,0,0.333,0,0.333,1,0
"189","8741",0,0,0,83,7,5,1,0.9,0.81,0,0.15,1.892,2.50102512962026,0,0.375,0.375,0.125,3,0
"190","3129",1,0,0,65,1,0.333333333333333,0,2.5,6.25,0,1.06,1.892,2.50102512962026,0,0.396,0.181,0.121,3,0
"191","4029",0,0,0,60,12,2.2,1,1.1,1.21,0.142655367231638,0.57,1.892,2.50102512962026,0,0.036,0.123,0.398,4,0
"192","4220",0,0,0,45,7,7,1,0.5,0.25,0,0.44,1.892,2.50102512962026,0,1,0,0,2,0
"193","4029",1,0,0,56,0,0.777777777777778,1,0.7,0.49,0.142655367231638,0.57,1.892,2.50102512962026,0,0,0,1,3,0
"194","4220",1,0,0,42,9,7,1,1.2,1.44,0,0.14,1.892,2.50102512962026,0,0,0,1,2,0
"195","3065",1,0,0,45,1,5,0,0.8,0.64,0.176224264278237,0,1.934,1.18133704075502,1,1,0,0,2,0
"196","2161",0,0,0,50,9,9,1,5,25,0,0.97,1.934,1.18133704075502,1,1,0,0,1,0
"197","2161",1,0,0,47,7,6,1,5,25,0,0.23,1.934,1.18133704075502,1,0,0,1,3,0
"198","3065",0,0,0,57,7,5,1,0.85,0.7225,0.299990115646931,0.36,1.934,1.18133704075502,1,0,1,0,3,1
"199","4831",1,0,0,46,12,4,1,3,9,0.299990115646931,0.75,1.934,1.18133704075502,0,1,0,0,2,0
"200","4831",0,0,0,47,9,4,1,3,9,0.299990115646931,0.75,1.934,1.18133704075502,0,0,1,0,2,0
"201","1885",0,0,0,70,7,0.75,1,5,25,0,0.55,1.934,1.18133704075502,0,0,0,1,2,0
"202","8071",1,0,0,50,9,3,0,1.4,1.96,0,0.22,1.934,1.18133704075502,0,0.306,0.055,0.493,2,0
"203","1885",1,0,0,52,4,0.75,1,3,9,0,0.25,1.934,1.18133704075502,0,0.062,0.113,0.394,2,0
"204","9385",0,0,0,78,4,1.33333333333333,1,3,9,0.066561223144853,0.68,1.934,1.18133704075502,0,0.062,0.353,0.469,2,0
"205","9385",1,0,0,78,4,0.4,1,2,4,0,0.37,1.934,1.18133704075502,0,0,0.125,0.375,1,0
"206","1789",0,0,0,50,9,10,1,2,4,0.5,5.09,1.934,1.18133704075502,0,1,0,0,2,0
